se;entao;sup;conf;lift
D2_Recomendacoes=Alto & E4_HomeRelevante=Alto;D3_GerirPlaylists=Alto;0.244;0.875;1.636
E1_SemDistracao=Alto & E2_InfoVisivel=Alto;B3_LayoutConsist=Alto;0.337;0.853;1.63
A5_RespeitaConfig=Alto & B3_LayoutConsist=Alto;B4_AcharAposUpd=Alto;0.349;0.909;1.629
C1_SemAcidente=Alto & D4_AdaptaUso=Alto;D3_GerirPlaylists=Alto;0.314;0.871;1.628
E3_Estetica=Alto & E4_HomeRelevante=Alto;D3_GerirPlaylists=Alto;0.314;0.871;1.628
A5_RespeitaConfig=Alto & E4_HomeRelevante=Alto;A4_CancelarAcao=Alto;0.267;0.852;1.628
D4_AdaptaUso=Alto & E1_SemDistracao=Alto;D3_GerirPlaylists=Alto;0.302;0.867;1.62
D2_Recomendacoes=Alto & E3_Estetica=Alto;B3_LayoutConsist=Alto;0.314;0.844;1.612
B3_LayoutConsist=Alto & E1_SemDistracao=Alto;D3_GerirPlaylists=Alto;0.291;0.862;1.612
E1_SemDistracao=Alto;B3_LayoutConsist=Alto & E2_InfoVisivel=Alto;0.337;0.806;1.611
B4_AcharAposUpd=Alto & E3_Estetica=Alto;B3_LayoutConsist=Alto;0.372;0.842;1.609
C1_SemAcidente=Alto & E4_HomeRelevante=Alto;A4_CancelarAcao=Alto;0.244;0.84;1.605
C4_AvisoPerda=Alto & D4_AdaptaUso=Alto;B3_LayoutConsist=Alto;0.244;0.84;1.605
B1_SemelhApps=Alto & E1_SemDistracao=Alto;A4_CancelarAcao=Alto;0.302;0.839;1.603
A4_CancelarAcao=Alto & D3_GerirPlaylists=Alto;B3_LayoutConsist=Alto;0.302;0.839;1.603
E3_Estetica=Alto & E4_HomeRelevante=Alto;A4_CancelarAcao=Alto;0.302;0.839;1.603
B1_SemelhApps=Alto & E1_SemDistracao=Alto;B3_LayoutConsist=Alto;0.302;0.839;1.603
B2_IconesEsperados=Alto & E4_HomeRelevante=Alto;B3_LayoutConsist=Alto;0.302;0.839;1.603
E3_Estetica=Alto & E4_HomeRelevante=Alto;B3_LayoutConsist=Alto;0.302;0.839;1.603
A4_CancelarAcao=Alto & E4_HomeRelevante=Alto;D3_GerirPlaylists=Alto;0.279;0.857;1.602
B4_AcharAposUpd=Alto & D2_Recomendacoes=Alto;D3_GerirPlaylists=Alto;0.279;0.857;1.602
C3_SugestoesBusca=Alto & E4_HomeRelevante=Alto;D4_AdaptaUso=Alto;0.314;0.931;1.601
D3_GerirPlaylists=Alto & E1_SemDistracao=Alto;D4_AdaptaUso=Alto;0.302;0.929;1.597
E1_SemDistracao=Alto & E4_HomeRelevante=Alto;D4_AdaptaUso=Alto;0.302;0.929;1.597
C1_SemAcidente=Alto & E1_SemDistracao=Alto;A4_CancelarAcao=Alto;0.233;0.833;1.593
A5_RespeitaConfig=Alto & E4_HomeRelevante=Alto;B4_AcharAposUpd=Alto;0.279;0.889;1.593
A5_RespeitaConfig=Alto & E4_HomeRelevante=Alto;D3_GerirPlaylists=Alto;0.267;0.852;1.593
B3_LayoutConsist=Alto & E4_HomeRelevante=Alto;B4_AcharAposUpd=Alto;0.279;0.889;1.593
C1_SemAcidente=Alto & E1_SemDistracao=Alto;B3_LayoutConsist=Alto;0.233;0.833;1.593
D4_AdaptaUso=Alto & E1_SemDistracao=Alto;B3_LayoutConsist=Alto;0.291;0.833;1.593
B3_LayoutConsist=Alto & E4_HomeRelevante=Alto;D4_AdaptaUso=Alto;0.291;0.926;1.593
C1_SemAcidente=Alto & E1_SemDistracao=Alto;E3_Estetica=Alto;0.279;1.0;1.593
C1_SemAcidente=Alto & E4_HomeRelevante=Alto;E3_Estetica=Alto;0.291;1.0;1.593
C4_AvisoPerda=Alto & E1_SemDistracao=Alto;E3_Estetica=Alto;0.221;1.0;1.593
