se;entao;sup;conf;lift
A5_RespeitaConfig=Alto & D3_GerirPlaylists=Alto;B4_AcharAposUpd=Alto;0.326;0.8;1.433
B3_LayoutConsist=Alto & D2_Recomendacoes=Alto;E3_Estetica=Alto;0.314;0.9;1.433
C4_AvisoPerda=Alto & D2_Recomendacoes=Alto;E3_Estetica=Alto;0.209;0.9;1.433
D4_AdaptaUso=Alto & E1_SemDistracao=Alto;E3_Estetica=Alto;0.314;0.9;1.433
E1_SemDistracao=Alto;D4_AdaptaUso=Alto;0.349;0.833;1.433
A4_CancelarAcao=Alto & D2_Recomendacoes=Alto;D1_AcoesRapidas=Alto;0.314;0.964;1.43
B3_LayoutConsist=Alto & D1_AcoesRapidas=Alto;E3_Estetica=Alto;0.395;0.895;1.425
C1_SemAcidente=Alto & E4_HomeRelevante=Alto;D1_AcoesRapidas=Alto;0.279;0.96;1.423
E1_SemDistracao=Alto & E4_HomeRelevante=Alto;E3_Estetica=Alto;0.291;0.893;1.422
D1_AcoesRapidas=Alto & D3_GerirPlaylists=Alto;E3_Estetica=Alto;0.384;0.892;1.42
D3_GerirPlaylists=Alto & D4_AdaptaUso=Alto;E3_Estetica=Alto;0.384;0.892;1.42
B3_LayoutConsist=Alto & D3_GerirPlaylists=Alto;D4_AdaptaUso=Alto;0.326;0.824;1.416
E1_SemDistracao=Alto;E3_Estetica=Alto;0.372;0.889;1.416
B1_SemelhApps=Alto & C1_SemAcidente=Alto;E3_Estetica=Alto;0.372;0.889;1.416
B3_LayoutConsist=Alto & C3_SugestoesBusca=Alto;E3_Estetica=Alto;0.372;0.889;1.416
C4_AvisoPerda=Alto & D3_GerirPlaylists=Alto;E3_Estetica=Alto;0.279;0.889;1.416
A5_RespeitaConfig=Alto & E1_SemDistracao=Alto;D4_AdaptaUso=Alto;0.267;0.821;1.413
B4_AcharAposUpd=Alto & D2_Recomendacoes=Alto;D4_AdaptaUso=Alto;0.267;0.821;1.413
C1_SemAcidente=Alto & D2_Recomendacoes=Alto;D4_AdaptaUso=Alto;0.267;0.821;1.413
A5_RespeitaConfig=Alto & D3_GerirPlaylists=Alto;E3_Estetica=Alto;0.36;0.886;1.411
C1_SemAcidente=Alto & D3_GerirPlaylists=Alto;D4_AdaptaUso=Alto;0.314;0.818;1.407
B1_SemelhApps=Alto & D3_GerirPlaylists=Alto;D4_AdaptaUso=Alto;0.36;0.816;1.403
C1_SemAcidente=Alto & E2_InfoVisivel=Alto;E3_Estetica=Alto;0.43;0.881;1.403
A4_CancelarAcao=Alto & C4_AvisoPerda=Alto;E3_Estetica=Alto;0.256;0.88;1.401
D3_GerirPlaylists=Alto & E2_InfoVisivel=Alto;D4_AdaptaUso=Alto;0.407;0.814;1.4
E2_InfoVisivel=Alto & E4_HomeRelevante=Alto;E3_Estetica=Alto;0.337;0.879;1.4
D2_Recomendacoes=Alto & E3_Estetica=Alto;D4_AdaptaUso=Alto;0.302;0.812;1.397
B4_AcharAposUpd=Alto & D2_Recomendacoes=Alto;A5_RespeitaConfig=Alto;0.291;0.893;1.396
C1_SemAcidente=Alto & C3_SugestoesBusca=Alto;D1_AcoesRapidas=Alto;0.372;0.941;1.396
B2_IconesEsperados=Alto & D3_GerirPlaylists=Alto;D4_AdaptaUso=Alto;0.349;0.811;1.395
C3_SugestoesBusca=Alto & D3_GerirPlaylists=Alto;D4_AdaptaUso=Alto;0.349;0.811;1.395
D1_AcoesRapidas=Alto & D3_GerirPlaylists=Alto;D4_AdaptaUso=Alto;0.349;0.811;1.395
D2_Recomendacoes=Alto & E1_SemDistracao=Alto;E3_Estetica=Alto;0.244;0.875;1.394
D2_Recomendacoes=Alto & E4_HomeRelevante=Alto;E3_Estetica=Alto;0.244;0.875;1.394
D5_TelasLimpas=Alto & E2_InfoVisivel=Alto;E3_Estetica=Alto;0.244;0.875;1.394
B4_AcharAposUpd=Alto & E1_SemDistracao=Alto;C3_SugestoesBusca=Alto;0.279;0.923;1.393
D2_Recomendacoes=Alto & E3_Estetica=Alto;D1_AcoesRapidas=Alto;0.349;0.938;1.39
B4_AcharAposUpd=Alto & E4_HomeRelevante=Alto;A5_RespeitaConfig=Alto;0.279;0.889;1.39
B4_AcharAposUpd=Alto & D1_AcoesRapidas=Alto;E3_Estetica=Alto;0.395;0.872;1.388
C1_SemAcidente=Alto & D1_AcoesRapidas=Alto;E3_Estetica=Alto;0.395;0.872;1.388
A4_CancelarAcao=Alto & C4_AvisoPerda=Alto;C3_SugestoesBusca=Alto;0.267;0.92;1.388
B3_LayoutConsist=Alto & C4_AvisoPerda=Alto;C3_SugestoesBusca=Alto;0.267;0.92;1.388
A4_CancelarAcao=Alto & D3_GerirPlaylists=Alto;D4_AdaptaUso=Alto;0.291;0.806;1.387
A4_CancelarAcao=Alto & D3_GerirPlaylists=Alto;E3_Estetica=Alto;0.314;0.871;1.387
A4_CancelarAcao=Alto & D4_AdaptaUso=Alto;E3_Estetica=Alto;0.314;0.871;1.387
B1_SemelhApps=Alto & E1_SemDistracao=Alto;E3_Estetica=Alto;0.314;0.871;1.387
B2_IconesEsperados=Alto & E4_HomeRelevante=Alto;E3_Estetica=Alto;0.314;0.871;1.387
D4_AdaptaUso=Alto & E4_HomeRelevante=Alto;D1_AcoesRapidas=Alto;0.337;0.935;1.387
E3_Estetica=Alto & E4_HomeRelevante=Alto;D1_AcoesRapidas=Alto;0.337;0.935;1.387
B3_LayoutConsist=Alto & C3_SugestoesBusca=Alto;D4_AdaptaUso=Alto;0.337;0.806;1.386
B3_LayoutConsist=Alto & D2_Recomendacoes=Alto;D1_AcoesRapidas=Alto;0.326;0.933;1.384
C4_AvisoPerda=Alto & E3_Estetica=Alto;D1_AcoesRapidas=Alto;0.326;0.933;1.384
D2_Recomendacoes=Alto & D3_GerirPlaylists=Alto;D1_AcoesRapidas=Alto;0.326;0.933;1.384
D3_GerirPlaylists=Alto;D4_AdaptaUso=Alto;0.43;0.804;1.383
B4_AcharAposUpd=Alto & E1_SemDistracao=Alto;A5_RespeitaConfig=Alto;0.267;0.885;1.383
C3_SugestoesBusca=Alto & E1_SemDistracao=Alto;E3_Estetica=Alto;0.302;0.867;1.38
D1_AcoesRapidas=Alto & E1_SemDistracao=Alto;E3_Estetica=Alto;0.302;0.867;1.38
D2_Recomendacoes=Alto & D3_GerirPlaylists=Alto;E3_Estetica=Alto;0.302;0.867;1.38
E4_HomeRelevante=Alto;D1_AcoesRapidas=Alto & E2_InfoVisivel=Alto;0.349;0.833;1.378
C3_SugestoesBusca=Alto & D3_GerirPlaylists=Alto;E3_Estetica=Alto;0.372;0.865;1.377
A4_CancelarAcao=Alto & E4_HomeRelevante=Alto;D1_AcoesRapidas=Alto;0.302;0.929;1.377
B4_AcharAposUpd=Alto & D2_Recomendacoes=Alto;D1_AcoesRapidas=Alto;0.302;0.929;1.377
C1_SemAcidente=Alto & C4_AvisoPerda=Alto;D1_AcoesRapidas=Alto;0.302;0.929;1.377
C1_SemAcidente=Alto & D2_Recomendacoes=Alto;D1_AcoesRapidas=Alto;0.302;0.929;1.377
E1_SemDistracao=Alto & E4_HomeRelevante=Alto;D1_AcoesRapidas=Alto;0.302;0.929;1.377
A5_RespeitaConfig=Alto & D3_GerirPlaylists=Alto;D4_AdaptaUso=Alto;0.326;0.8;1.376
C3_SugestoesBusca=Alto & E3_Estetica=Alto;D4_AdaptaUso=Alto;0.372;0.8;1.376
B1_SemelhApps=Alto & C4_AvisoPerda=Alto;E3_Estetica=Alto;0.291;0.862;1.373
C3_SugestoesBusca=Alto & E4_HomeRelevante=Alto;E3_Estetica=Alto;0.291;0.862;1.373
B3_LayoutConsist=Alto & E4_HomeRelevante=Alto;D1_AcoesRapidas=Alto;0.291;0.926;1.373
E4_HomeRelevante=Alto;E3_Estetica=Alto;0.36;0.861;1.371
A5_RespeitaConfig=Alto & D4_AdaptaUso=Alto;E3_Estetica=Alto;0.36;0.861;1.371
D3_GerirPlaylists=Alto & E2_InfoVisivel=Alto;E3_Estetica=Alto;0.43;0.86;1.37
B4_AcharAposUpd=Alto & E1_SemDistracao=Alto;D1_AcoesRapidas=Alto;0.279;0.923;1.369
B1_SemelhApps=Alto & E4_HomeRelevante=Alto;E3_Estetica=Alto;0.279;0.857;1.365
B4_AcharAposUpd=Alto & D2_Recomendacoes=Alto;E3_Estetica=Alto;0.279;0.857;1.365
C1_SemAcidente=Alto & D2_Recomendacoes=Alto;E3_Estetica=Alto;0.279;0.857;1.365
A4_CancelarAcao=Alto & C4_AvisoPerda=Alto;D1_AcoesRapidas=Alto;0.267;0.92;1.364
B3_LayoutConsist=Alto & C4_AvisoPerda=Alto;D1_AcoesRapidas=Alto;0.267;0.92;1.364
C4_AvisoPerda=Alto & D4_AdaptaUso=Alto;D1_AcoesRapidas=Alto;0.267;0.92;1.364
B4_AcharAposUpd=Alto & D1_AcoesRapidas=Alto;A5_RespeitaConfig=Alto;0.395;0.872;1.363
A4_CancelarAcao=Alto & D4_AdaptaUso=Alto;C3_SugestoesBusca=Alto;0.326;0.903;1.363
D2_Recomendacoes=Alto & E1_SemDistracao=Alto;D1_AcoesRapidas=Alto;0.256;0.917;1.359
B1_SemelhApps=Alto & D2_Recomendacoes=Alto;D1_AcoesRapidas=Alto;0.384;0.917;1.359
C1_SemAcidente=Alto & C3_SugestoesBusca=Alto;E3_Estetica=Alto;0.337;0.853;1.358
E4_HomeRelevante=Alto;E2_InfoVisivel=Alto & E3_Estetica=Alto;0.337;0.806;1.358
C4_AvisoPerda=Alto & D2_Recomendacoes=Alto;C3_SugestoesBusca=Alto;0.209;0.9;1.358
D4_AdaptaUso=Alto & E1_SemDistracao=Alto;C3_SugestoesBusca=Alto;0.314;0.9;1.358
B4_AcharAposUpd=Alto & E3_Estetica=Alto;A5_RespeitaConfig=Alto;0.384;0.868;1.358
C1_SemAcidente=Alto;E2_InfoVisivel=Alto & E3_Estetica=Alto;0.43;0.804;1.356
D3_GerirPlaylists=Alto;E2_InfoVisivel=Alto & E3_Estetica=Alto;0.43;0.804;1.356
B3_LayoutConsist=Alto;B1_SemelhApps=Alto & B2_IconesEsperados=Alto;0.453;0.867;1.355
D1_AcoesRapidas=Alto & D4_AdaptaUso=Alto;E3_Estetica=Alto;0.395;0.85;1.354
B1_SemelhApps=Alto & C4_AvisoPerda=Alto;C3_SugestoesBusca=Alto;0.302;0.897;1.353
B3_LayoutConsist=Alto & E1_SemDistracao=Alto;C3_SugestoesBusca=Alto;0.302;0.897;1.353
B4_AcharAposUpd=Alto & D4_AdaptaUso=Alto;E3_Estetica=Alto;0.326;0.848;1.351
C4_AvisoPerda=Alto & D1_AcoesRapidas=Alto;E3_Estetica=Alto;0.326;0.848;1.351
D3_GerirPlaylists=Alto;E3_Estetica=Alto;0.453;0.848;1.35
C4_AvisoPerda=Alto;D1_AcoesRapidas=Alto & E2_InfoVisivel=Alto;0.36;0.816;1.349
B3_LayoutConsist=Alto & D4_AdaptaUso=Alto;D1_AcoesRapidas=Alto;0.349;0.909;1.348
B4_AcharAposUpd=Alto & C1_SemAcidente=Alto;D1_AcoesRapidas=Alto;0.349;0.909;1.348
C3_SugestoesBusca=Alto & D2_Recomendacoes=Alto;D1_AcoesRapidas=Alto;0.349;0.909;1.348
E2_InfoVisivel=Alto & E4_HomeRelevante=Alto;D1_AcoesRapidas=Alto;0.349;0.909;1.348
A4_CancelarAcao=Alto & B1_SemelhApps=Alto;E3_Estetica=Alto;0.384;0.846;1.348
A5_RespeitaConfig=Alto & B4_AcharAposUpd=Alto;E3_Estetica=Alto;0.384;0.846;1.348
D2_Recomendacoes=Alto;D1_AcoesRapidas=Alto & E2_InfoVisivel=Alto;0.407;0.814;1.346
A4_CancelarAcao=Alto & B4_AcharAposUpd=Alto;E3_Estetica=Alto;0.314;0.844;1.344
A5_RespeitaConfig=Alto & D2_Recomendacoes=Alto;D1_AcoesRapidas=Alto;0.337;0.906;1.344
A5_RespeitaConfig=Alto & D2_Recomendacoes=Alto;E3_Estetica=Alto;0.314;0.844;1.344
C3_SugestoesBusca=Alto & C4_AvisoPerda=Alto;D1_AcoesRapidas=Alto;0.337;0.906;1.344
D2_Recomendacoes=Alto & D4_AdaptaUso=Alto;D1_AcoesRapidas=Alto;0.337;0.906;1.344
B1_SemelhApps=Alto & D3_GerirPlaylists=Alto;E3_Estetica=Alto;0.372;0.842;1.341
B3_LayoutConsist=Alto & E4_HomeRelevante=Alto;C3_SugestoesBusca=Alto;0.279;0.889;1.341
C3_SugestoesBusca=Alto & D4_AdaptaUso=Alto;E3_Estetica=Alto;0.372;0.842;1.341
B3_LayoutConsist=Alto & B4_AcharAposUpd=Alto;A5_RespeitaConfig=Alto;0.349;0.857;1.34
B2_IconesEsperados=Alto & E4_HomeRelevante=Alto;D1_AcoesRapidas=Alto;0.326;0.903;1.339
B3_LayoutConsist=Alto & C1_SemAcidente=Alto;D1_AcoesRapidas=Alto;0.326;0.903;1.339
C1_SemAcidente=Alto & D4_AdaptaUso=Alto;D1_AcoesRapidas=Alto;0.326;0.903;1.339
B2_IconesEsperados=Alto & D3_GerirPlaylists=Alto;E3_Estetica=Alto;0.36;0.838;1.334
B3_LayoutConsist=Alto & D3_GerirPlaylists=Alto;C3_SugestoesBusca=Alto;0.349;0.882;1.331
B1_SemelhApps=Alto & C4_AvisoPerda=Alto;D1_AcoesRapidas=Alto;0.302;0.897;1.329
C3_SugestoesBusca=Alto & E4_HomeRelevante=Alto;D1_AcoesRapidas=Alto;0.302;0.897;1.329
D3_GerirPlaylists=Alto & E4_HomeRelevante=Alto;D1_AcoesRapidas=Alto;0.302;0.897;1.329
B4_AcharAposUpd=Alto & C4_AvisoPerda=Alto;C3_SugestoesBusca=Alto;0.256;0.88;1.328
C4_AvisoPerda=Alto & D4_AdaptaUso=Alto;C3_SugestoesBusca=Alto;0.256;0.88;1.328
C2_ControlesPos=Alto;E3_Estetica=Alto;0.233;0.833;1.327
A5_RespeitaConfig=Alto & D1_AcoesRapidas=Alto;E3_Estetica=Alto;0.407;0.833;1.327
B4_AcharAposUpd=Alto & C3_SugestoesBusca=Alto;E3_Estetica=Alto;0.349;0.833;1.327
B4_AcharAposUpd=Alto & C1_SemAcidente=Alto;A5_RespeitaConfig=Alto;0.326;0.848;1.327
B4_AcharAposUpd=Alto & D4_AdaptaUso=Alto;A5_RespeitaConfig=Alto;0.326;0.848;1.327
B4_AcharAposUpd=Alto & E3_Estetica=Alto;D1_AcoesRapidas=Alto;0.395;0.895;1.327
C1_SemAcidente=Alto & E3_Estetica=Alto;D1_AcoesRapidas=Alto;0.395;0.895;1.327
B3_LayoutConsist=Alto & D4_AdaptaUso=Alto;C3_SugestoesBusca=Alto;0.337;0.879;1.326
C4_AvisoPerda=Alto & D1_AcoesRapidas=Alto;C3_SugestoesBusca=Alto;0.337;0.879;1.326
B1_SemelhApps=Alto & E4_HomeRelevante=Alto;D1_AcoesRapidas=Alto;0.291;0.893;1.324
B2_IconesEsperados=Alto & E1_SemDistracao=Alto;C3_SugestoesBusca=Alto;0.326;0.875;1.32
D2_Recomendacoes=Alto & E1_SemDistracao=Alto;C3_SugestoesBusca=Alto;0.244;0.875;1.32
A4_CancelarAcao=Alto & A5_RespeitaConfig=Alto;E3_Estetica=Alto;0.337;0.829;1.32
C4_AvisoPerda=Alto & E2_InfoVisivel=Alto;E3_Estetica=Alto;0.337;0.829;1.32
A4_CancelarAcao=Alto & B4_AcharAposUpd=Alto;A5_RespeitaConfig=Alto;0.314;0.844;1.319
D2_Recomendacoes=Alto & E3_Estetica=Alto;A5_RespeitaConfig=Alto;0.314;0.844;1.319
E4_HomeRelevante=Alto;D1_AcoesRapidas=Alto;0.372;0.889;1.318
A5_RespeitaConfig=Alto & E4_HomeRelevante=Alto;D1_AcoesRapidas=Alto;0.279;0.889;1.318
B3_LayoutConsist=Alto & C3_SugestoesBusca=Alto;D1_AcoesRapidas=Alto;0.372;0.889;1.318
B4_AcharAposUpd=Alto & C3_SugestoesBusca=Alto;D1_AcoesRapidas=Alto;0.372;0.889;1.318
B4_AcharAposUpd=Alto & E4_HomeRelevante=Alto;D1_AcoesRapidas=Alto;0.279;0.889;1.318
C4_AvisoPerda=Alto & D3_GerirPlaylists=Alto;D1_AcoesRapidas=Alto;0.279;0.889;1.318
C1_SemAcidente=Alto & E3_Estetica=Alto;A5_RespeitaConfig=Alto;0.372;0.842;1.317
C1_SemAcidente=Alto;E3_Estetica=Alto;0.442;0.826;1.316
A4_CancelarAcao=Alto & D3_GerirPlaylists=Alto;C3_SugestoesBusca=Alto;0.314;0.871;1.314
B1_SemelhApps=Alto & E1_SemDistracao=Alto;C3_SugestoesBusca=Alto;0.314;0.871;1.314
B3_LayoutConsist=Alto & C1_SemAcidente=Alto;C3_SugestoesBusca=Alto;0.314;0.871;1.314
D4_AdaptaUso=Alto & E4_HomeRelevante=Alto;C3_SugestoesBusca=Alto;0.314;0.871;1.314
B1_SemelhApps=Alto & B4_AcharAposUpd=Alto;E3_Estetica=Alto;0.384;0.825;1.314
B2_IconesEsperados=Alto & C1_SemAcidente=Alto;E3_Estetica=Alto;0.384;0.825;1.314
B4_AcharAposUpd=Alto & C4_AvisoPerda=Alto;A5_RespeitaConfig=Alto;0.244;0.84;1.313
A5_RespeitaConfig=Alto & C1_SemAcidente=Alto;D1_AcoesRapidas=Alto;0.36;0.886;1.313
B3_LayoutConsist=Alto & B4_AcharAposUpd=Alto;D1_AcoesRapidas=Alto;0.36;0.886;1.313
C4_AvisoPerda=Alto & E2_InfoVisivel=Alto;D1_AcoesRapidas=Alto;0.36;0.886;1.313
B4_AcharAposUpd=Alto & D3_GerirPlaylists=Alto;E3_Estetica=Alto;0.326;0.824;1.312
B3_LayoutConsist=Alto & D3_GerirPlaylists=Alto;D1_AcoesRapidas=Alto;0.349;0.882;1.308
A5_RespeitaConfig=Alto & C4_AvisoPerda=Alto;E3_Estetica=Alto;0.267;0.821;1.308
C1_SemAcidente=Alto & C4_AvisoPerda=Alto;E3_Estetica=Alto;0.267;0.821;1.308
C4_AvisoPerda=Alto & E3_Estetica=Alto;C3_SugestoesBusca=Alto;0.302;0.867;1.308
D1_AcoesRapidas=Alto & E1_SemDistracao=Alto;C3_SugestoesBusca=Alto;0.302;0.867;1.308
A5_RespeitaConfig=Alto & E2_InfoVisivel=Alto;E3_Estetica=Alto;0.477;0.82;1.306
B4_AcharAposUpd=Alto & C4_AvisoPerda=Alto;D1_AcoesRapidas=Alto;0.256;0.88;1.305
B3_LayoutConsist=Alto;B2_IconesEsperados=Alto & E2_InfoVisivel=Alto;0.5;0.956;1.304
B2_IconesEsperados=Alto & D5_TelasLimpas=Alto;E3_Estetica=Alto;0.209;0.818;1.303
B4_AcharAposUpd=Alto & E2_InfoVisivel=Alto;E3_Estetica=Alto;0.419;0.818;1.303
C2_ControlesPos=Alto & E2_InfoVisivel=Alto;E3_Estetica=Alto;0.209;0.818;1.303
C4_AvisoPerda=Alto & E4_HomeRelevante=Alto;C3_SugestoesBusca=Alto;0.221;0.864;1.303
D2_Recomendacoes=Alto & D3_GerirPlaylists=Alto;A5_RespeitaConfig=Alto;0.291;0.833;1.303
C1_SemAcidente=Alto & D3_GerirPlaylists=Alto;D1_AcoesRapidas=Alto;0.337;0.879;1.303
B4_AcharAposUpd=Alto & C3_SugestoesBusca=Alto;A5_RespeitaConfig=Alto;0.349;0.833;1.303
A4_CancelarAcao=Alto & B3_LayoutConsist=Alto;B1_SemelhApps=Alto;0.349;0.938;1.3
D5_TelasLimpas=Alto;E3_Estetica=Alto;0.256;0.815;1.298
A4_CancelarAcao=Alto & D4_AdaptaUso=Alto;B1_SemelhApps=Alto;0.337;0.935;1.298
A4_CancelarAcao=Alto & B3_LayoutConsist=Alto;D1_AcoesRapidas=Alto;0.326;0.875;1.297
C1_SemAcidente=Alto & E1_SemDistracao=Alto;D1_AcoesRapidas=Alto;0.244;0.875;1.297
C3_SugestoesBusca=Alto & E3_Estetica=Alto;D1_AcoesRapidas=Alto;0.407;0.875;1.297
D2_Recomendacoes=Alto & E2_InfoVisivel=Alto;D1_AcoesRapidas=Alto;0.407;0.875;1.297
A4_CancelarAcao=Alto & E2_InfoVisivel=Alto;E3_Estetica=Alto;0.407;0.814;1.296
A5_RespeitaConfig=Alto & B1_SemelhApps=Alto;E3_Estetica=Alto;0.407;0.814;1.296
B3_LayoutConsist=Alto & E1_SemDistracao=Alto;A5_RespeitaConfig=Alto;0.279;0.828;1.294
B2_IconesEsperados=Alto & C4_AvisoPerda=Alto;E3_Estetica=Alto;0.302;0.812;1.294
C3_SugestoesBusca=Alto & C4_AvisoPerda=Alto;E3_Estetica=Alto;0.302;0.812;1.294
D2_Recomendacoes=Alto & D4_AdaptaUso=Alto;E3_Estetica=Alto;0.302;0.812;1.294
C4_AvisoPerda=Alto & E2_InfoVisivel=Alto;C3_SugestoesBusca=Alto;0.349;0.857;1.293
A4_CancelarAcao=Alto & D2_Recomendacoes=Alto;C3_SugestoesBusca=Alto;0.279;0.857;1.293
A4_CancelarAcao=Alto & E1_SemDistracao=Alto;C3_SugestoesBusca=Alto;0.279;0.857;1.293
A4_CancelarAcao=Alto & E4_HomeRelevante=Alto;C3_SugestoesBusca=Alto;0.279;0.857;1.293
A5_RespeitaConfig=Alto & C4_AvisoPerda=Alto;C3_SugestoesBusca=Alto;0.279;0.857;1.293
B1_SemelhApps=Alto & E4_HomeRelevante=Alto;C3_SugestoesBusca=Alto;0.279;0.857;1.293
C1_SemAcidente=Alto & C4_AvisoPerda=Alto;C3_SugestoesBusca=Alto;0.279;0.857;1.293
D3_GerirPlaylists=Alto & E1_SemDistracao=Alto;C3_SugestoesBusca=Alto;0.279;0.857;1.293
E1_SemDistracao=Alto & E4_HomeRelevante=Alto;C3_SugestoesBusca=Alto;0.279;0.857;1.293
A5_RespeitaConfig=Alto & B4_AcharAposUpd=Alto;D1_AcoesRapidas=Alto;0.395;0.872;1.293
D4_AdaptaUso=Alto & E3_Estetica=Alto;D1_AcoesRapidas=Alto;0.395;0.872;1.293
A4_CancelarAcao=Alto & D1_AcoesRapidas=Alto;E3_Estetica=Alto;0.349;0.811;1.291
D1_AcoesRapidas=Alto & D2_Recomendacoes=Alto;E3_Estetica=Alto;0.349;0.811;1.291
B1_SemelhApps=Alto & B4_AcharAposUpd=Alto;A5_RespeitaConfig=Alto;0.384;0.825;1.29
B1_SemelhApps=Alto & C3_SugestoesBusca=Alto;D1_AcoesRapidas=Alto;0.465;0.87;1.289
A4_CancelarAcao=Alto & E1_SemDistracao=Alto;B1_SemelhApps=Alto;0.302;0.929;1.288
A4_CancelarAcao=Alto & E4_HomeRelevante=Alto;B1_SemelhApps=Alto;0.302;0.929;1.288
B4_AcharAposUpd=Alto & D3_GerirPlaylists=Alto;A5_RespeitaConfig=Alto;0.326;0.824;1.288
C4_AvisoPerda=Alto;D1_AcoesRapidas=Alto;0.384;0.868;1.288
D1_AcoesRapidas=Alto & E2_InfoVisivel=Alto;E3_Estetica=Alto;0.488;0.808;1.286
C4_AvisoPerda=Alto & D3_GerirPlaylists=Alto;C3_SugestoesBusca=Alto;0.267;0.852;1.285
A4_CancelarAcao=Alto & C1_SemAcidente=Alto;D1_AcoesRapidas=Alto;0.302;0.867;1.285
C3_SugestoesBusca=Alto & E1_SemDistracao=Alto;D1_AcoesRapidas=Alto;0.302;0.867;1.285
D4_AdaptaUso=Alto & E1_SemDistracao=Alto;D1_AcoesRapidas=Alto;0.302;0.867;1.285
A4_CancelarAcao=Alto & D2_Recomendacoes=Alto;A5_RespeitaConfig=Alto;0.267;0.821;1.284
A4_CancelarAcao=Alto & E4_HomeRelevante=Alto;A5_RespeitaConfig=Alto;0.267;0.821;1.284
A4_CancelarAcao=Alto & B3_LayoutConsist=Alto;B2_IconesEsperados=Alto;0.372;1.0;1.284
A5_RespeitaConfig=Alto & B3_LayoutConsist=Alto;B2_IconesEsperados=Alto;0.384;1.0;1.284
B1_SemelhApps=Alto & B3_LayoutConsist=Alto;B2_IconesEsperados=Alto;0.453;1.0;1.284
B1_SemelhApps=Alto & E4_HomeRelevante=Alto;B2_IconesEsperados=Alto;0.326;1.0;1.284
B3_LayoutConsist=Alto & B4_AcharAposUpd=Alto;B2_IconesEsperados=Alto;0.407;1.0;1.284
B3_LayoutConsist=Alto & C1_SemAcidente=Alto;B2_IconesEsperados=Alto;0.36;1.0;1.284
B3_LayoutConsist=Alto & C4_AvisoPerda=Alto;B2_IconesEsperados=Alto;0.291;1.0;1.284
B3_LayoutConsist=Alto & D2_Recomendacoes=Alto;B2_IconesEsperados=Alto;0.349;1.0;1.284
B3_LayoutConsist=Alto & E1_SemDistracao=Alto;B2_IconesEsperados=Alto;0.337;1.0;1.284
B3_LayoutConsist=Alto & E2_InfoVisivel=Alto;B2_IconesEsperados=Alto;0.5;1.0;1.284
A4_CancelarAcao=Alto & B2_IconesEsperados=Alto;E3_Estetica=Alto;0.384;0.805;1.282
B2_IconesEsperados=Alto & D4_AdaptaUso=Alto;E3_Estetica=Alto;0.384;0.805;1.282
C4_AvisoPerda=Alto & E4_HomeRelevante=Alto;D1_AcoesRapidas=Alto;0.221;0.864;1.281
B4_AcharAposUpd=Alto & E1_SemDistracao=Alto;B1_SemelhApps=Alto;0.279;0.923;1.28
B4_AcharAposUpd=Alto & E2_InfoVisivel=Alto;A5_RespeitaConfig=Alto;0.419;0.818;1.279
A4_CancelarAcao=Alto & C3_SugestoesBusca=Alto;D1_AcoesRapidas=Alto;0.36;0.861;1.277
B1_SemelhApps=Alto & C1_SemAcidente=Alto;D1_AcoesRapidas=Alto;0.36;0.861;1.277
A4_CancelarAcao=Alto & B1_SemelhApps=Alto;C3_SugestoesBusca=Alto;0.384;0.846;1.277
D2_Recomendacoes=Alto;D1_AcoesRapidas=Alto;0.43;0.86;1.276
A4_CancelarAcao=Alto;B1_SemelhApps=Alto & E2_InfoVisivel=Alto;0.442;0.844;1.274
B3_LayoutConsist=Alto & E4_HomeRelevante=Alto;A5_RespeitaConfig=Alto;0.256;0.815;1.274
B3_LayoutConsist=Alto;B1_SemelhApps=Alto & E2_InfoVisivel=Alto;0.442;0.844;1.274
B1_SemelhApps=Alto & D4_AdaptaUso=Alto;E3_Estetica=Alto;0.372;0.8;1.274
A4_CancelarAcao=Alto & B3_LayoutConsist=Alto;C3_SugestoesBusca=Alto;0.314;0.844;1.273
B2_IconesEsperados=Alto & C4_AvisoPerda=Alto;C3_SugestoesBusca=Alto;0.314;0.844;1.273
B2_IconesEsperados=Alto & B4_AcharAposUpd=Alto;A5_RespeitaConfig=Alto;0.407;0.814;1.273
A4_CancelarAcao=Alto & C3_SugestoesBusca=Alto;B1_SemelhApps=Alto;0.384;0.917;1.272
A4_CancelarAcao=Alto & E3_Estetica=Alto;B1_SemelhApps=Alto;0.384;0.917;1.272
C1_SemAcidente=Alto & E2_InfoVisivel=Alto;D1_AcoesRapidas=Alto;0.419;0.857;1.271
A4_CancelarAcao=Alto & E1_SemDistracao=Alto;D1_AcoesRapidas=Alto;0.279;0.857;1.271
C4_AvisoPerda=Alto;C3_SugestoesBusca=Alto;0.372;0.842;1.271
B1_SemelhApps=Alto & D3_GerirPlaylists=Alto;C3_SugestoesBusca=Alto;0.372;0.842;1.271
B3_LayoutConsist=Alto & D1_AcoesRapidas=Alto;C3_SugestoesBusca=Alto;0.372;0.842;1.271
B4_AcharAposUpd=Alto;A5_RespeitaConfig=Alto;0.453;0.812;1.27
E1_SemDistracao=Alto & E3_Estetica=Alto;A5_RespeitaConfig=Alto;0.302;0.812;1.27
B3_LayoutConsist=Alto & B4_AcharAposUpd=Alto;B1_SemelhApps=Alto;0.372;0.914;1.268
