Item_A;Item_B;rho;p;p_bonferroni;sig_001;sig_005
A2_ControleRepr;D5_TelasLimpas;0.4806753936131604;0.007173198146183948;1.0;False;False
B4_AcharAposUpd;C1_SemAcidente;0.480468883643388;2.843325410617658e-06;0.0007847578133304737;True;True
A1_VoltarTela;A5_RespeitaConfig;0.479137335836522;0.0010001846138687738;0.2760509534277816;False;False
B4_AcharAposUpd;D1_AcoesRapidas;0.47868528880680233;3.1320461770592715e-06;0.000864444744868359;True;True
A2_ControleRepr;E4_HomeRelevante;0.474919043798377;0.003941237564236028;1.0;False;False
A1_VoltarTela;A4_CancelarAcao;0.47407168918061016;0.001150755982781878;0.31760865124779836;False;False
A4_CancelarAcao;B3_LayoutConsist;0.47260942906338677;4.336600254245351e-06;0.001196901670171717;True;True
B2_IconesEsperados;E2_InfoVisivel;0.469843669993219;5.018682957612697e-06;0.0013851564963011044;True;True
D3_GerirPlaylists;D5_TelasLimpas;0.46801190040315016;7.415253406873863e-05;0.020466099402971862;False;True
B2_IconesEsperados;C1_SemAcidente;0.4675685865133815;5.654093761434289e-06;0.001560529878155864;True;True
D4_AdaptaUso;E3_Estetica;0.46613133394865625;6.093680372952304e-06;0.001681855782934836;True;True
A4_CancelarAcao;E3_Estetica;0.465453489476714;6.311962951123899e-06;0.001742101774510196;True;True
E2_InfoVisivel;E3_Estetica;0.4641838928844476;6.74070331760983e-06;0.001860434115660313;True;True
D1_AcoesRapidas;E4_HomeRelevante;0.46367342037068393;6.920678466416033e-06;0.001910107256730825;True;True
A5_RespeitaConfig;B4_AcharAposUpd;0.4616847508472278;7.66575296135314e-06;0.0021157478173334664;True;True
D1_AcoesRapidas;D4_AdaptaUso;0.4605442694053738;8.126366186116919e-06;0.0022428770673682697;True;True
A2_ControleRepr;B2_IconesEsperados;0.46000317728721113;0.005430316928424089;1.0;False;False
B2_IconesEsperados;C2_ControlesPos;0.4598190448084116;0.0001498632012008501;0.041362243531434625;False;True
B3_LayoutConsist;C1_SemAcidente;0.45935533780816606;8.634119363211143e-06;0.0023830169442462753;True;True
A5_RespeitaConfig;D1_AcoesRapidas;0.4575082577013809;9.482349083493443e-06;0.0026171283470441905;True;True
A4_CancelarAcao;C2_ControlesPos;0.4557582111300304;0.00017433796130709233;0.04811727732075748;False;True
C5_TocaRapido;E2_InfoVisivel;0.4532583420960555;0.0004514629498510215;0.12460377415888192;False;False
A4_CancelarAcao;D1_AcoesRapidas;0.4519904530268302;1.2505378885236073e-05;0.0034514845723251563;True;True
B1_SemelhApps;E1_SemDistracao;0.4499876052612802;1.3810441925649988e-05;0.003811681971479397;True;True
C1_SemAcidente;C2_ControlesPos;0.44993365091929693;0.00021587386632755377;0.059581187106404844;False;False
A4_CancelarAcao;B4_AcharAposUpd;0.44540499560291685;1.7291524791768165e-05;0.004772460842528014;True;True
C1_SemAcidente;D1_AcoesRapidas;0.4336702442863931;3.0305020162104888e-05;0.00836418556474095;True;True
B4_AcharAposUpd;D4_AdaptaUso;0.43339923977201994;3.069282001736907e-05;0.008471218324793863;True;True
C1_SemAcidente;C4_AvisoPerda;0.43299746977519077;3.1276269657436974e-05;0.008632250425452605;True;True
A5_RespeitaConfig;E3_Estetica;0.4308741711726944;3.4535388604312114e-05;0.009531767254790144;True;True
A1_VoltarTela;D5_TelasLimpas;0.4305595412343111;0.006967888485610456;1.0;False;False
C1_SemAcidente;D3_GerirPlaylists;0.42829306944361745;3.8923354498370166e-05;0.010742845841550165;False;True
A2_ControleRepr;D2_Recomendacoes;0.4278127878483074;0.010358384225688962;1.0;False;False
C5_TocaRapido;D4_AdaptaUso;0.42422523967081593;0.0011204794299041788;0.30925232265355335;False;False
D1_AcoesRapidas;E2_InfoVisivel;0.4231199425140535;4.932435888794954e-05;0.013613523053074074;False;True
A4_CancelarAcao;B2_IconesEsperados;0.4223036517116576;5.118450076808426e-05;0.014126922211991256;False;True
A4_CancelarAcao;E4_HomeRelevante;0.4211119893465444;5.401750181617167e-05;0.014908830501263381;False;True
A4_CancelarAcao;A5_RespeitaConfig;0.41953087312349957;5.80018115104172e-05;0.01600849997687515;False;True
B4_AcharAposUpd;C5_TocaRapido;0.418815818701999;0.0013157665734220034;0.3631515742644729;False;False
A2_ControleRepr;E1_SemDistracao;0.4158511044283778;0.012971756355546689;1.0;False;False
B2_IconesEsperados;B5_PrevisivBotoes;0.41546879614104243;0.0024307868905809613;0.6708971818003453;False;False
A2_ControleRepr;B1_SemelhApps;0.41464690217010725;0.013263211119955404;1.0;False;False
B3_LayoutConsist;D1_AcoesRapidas;0.4132649315504557;7.663433755118091e-05;0.02115107716412593;False;True
A1_VoltarTela;B3_LayoutConsist;0.4130960757379049;0.005320553162581139;1.0;False;False
A1_VoltarTela;E3_Estetica;0.41220245429164076;0.005430396943083481;1.0;False;False
B3_LayoutConsist;E2_InfoVisivel;0.40988901013534623;8.884261900641461e-05;0.024520562845770432;False;True
B1_SemelhApps;E2_InfoVisivel;0.4088108472153511;9.310660648932607e-05;0.025697423391053995;False;True
B1_SemelhApps;D3_GerirPlaylists;0.4084906265880637;9.4409119587946e-05;0.026056917006273096;False;True
B5_PrevisivBotoes;D2_Recomendacoes;0.4076670308229853;0.0029846222121455096;0.8237557305521607;False;False
D1_AcoesRapidas;E1_SemDistracao;0.4055389556441412;0.00010723624050631942;0.029597202379744163;False;True
A3_DesfazerPlay;C2_ControlesPos;0.40281838473454956;0.0017187370317787612;0.4743714207709381;False;False
A5_RespeitaConfig;B2_IconesEsperados;0.40266474604352515;0.00012126167333522517;0.033468221840522144;False;True
B5_PrevisivBotoes;D3_GerirPlaylists;0.40073174319963256;0.0035676860745857348;0.9846813565856628;False;False
B3_LayoutConsist;D4_AdaptaUso;0.40046389419540096;0.00013312898139518703;0.03674359886507162;False;True
A1_VoltarTela;D3_GerirPlaylists;0.40045969751502875;0.007067838923678943;1.0;False;False
D2_Recomendacoes;D4_AdaptaUso;0.39916024954051166;0.0001406560472489721;0.038821069040716305;False;True
A1_VoltarTela;D2_Recomendacoes;0.3969396835232288;0.007635263703894322;1.0;False;False
B1_SemelhApps;D4_AdaptaUso;0.39635508304141964;0.00015820576705635818;0.043664791707554856;False;True
B2_IconesEsperados;D2_Recomendacoes;0.3958878065754773;0.00016131856876943883;0.044523924980365115;False;True
A4_CancelarAcao;D5_TelasLimpas;0.3946077221818569;0.001042858914380231;0.2878290603689438;False;False
A5_RespeitaConfig;C3_SugestoesBusca;0.3942967953367943;0.00017234655119507746;0.04756764812984138;False;True
D4_AdaptaUso;E2_InfoVisivel;0.39321943780689994;0.00018020509612499678;0.04973660653049911;False;True
C4_AvisoPerda;D1_AcoesRapidas;0.3927236609649052;0.0001839314345808653;0.050765075944318824;False;False
B1_SemelhApps;B4_AcharAposUpd;0.3923183592269361;0.00018703044709981225;0.05162040339954818;False;False
A4_CancelarAcao;D3_GerirPlaylists;0.3908403601579457;0.0001987443495045867;0.05485344046326593;False;False
B2_IconesEsperados;E3_Estetica;0.3900415934030538;0.00020535316082970114;0.056677472388997514;False;False
A5_RespeitaConfig;B3_LayoutConsist;0.3873144271518563;0.0002294747263205587;0.0633350244644742;False;False
B3_LayoutConsist;C5_TocaRapido;0.3868663506694834;0.003225710504157424;0.890296099147449;False;False
C5_TocaRapido;D3_GerirPlaylists;0.386180053481359;0.0032853453471364032;0.9067553158096473;False;False
D1_AcoesRapidas;D3_GerirPlaylists;0.38441956764830076;0.0002579159365881706;0.07118479849833509;False;False
A4_CancelarAcao;D4_AdaptaUso;0.3829169678761397;0.0002739258032501695;0.07560352169704679;False;False
D2_Recomendacoes;D3_GerirPlaylists;0.3804713524977255;0.0003019499733747137;0.08333819265142098;False;False
C5_TocaRapido;E4_HomeRelevante;0.3786878912984768;0.004002683837216888;1.0;False;False
A4_CancelarAcao;E2_InfoVisivel;0.37842587227949637;0.0003273882212183309;0.09035914905625933;False;False
A5_RespeitaConfig;B1_SemelhApps;0.37723496196203155;0.0003430912262936859;0.09469317845705731;False;False
B2_IconesEsperados;E1_SemDistracao;0.3771588915351706;0.00034411740177461625;0.09497640288979409;False;False
A3_DesfazerPlay;E4_HomeRelevante;0.3767776359883097;0.0012008547766794277;0.33143591836352204;False;False
A1_VoltarTela;B5_PrevisivBotoes;0.37449313742722323;0.029104019961390226;1.0;False;False
B2_IconesEsperados;C5_TocaRapido;0.3735656248451209;0.004569472950833852;1.0;False;False
A5_RespeitaConfig;C1_SemAcidente;0.37210801571018365;0.0004189117013849055;0.11561962958223392;False;False
B1_SemelhApps;B5_PrevisivBotoes;0.3713852134434532;0.007292626587288324;1.0;False;False
A3_DesfazerPlay;D3_GerirPlaylists;0.37085581017479846;0.0014536872262612096;0.40121767444809386;False;False
B1_SemelhApps;C1_SemAcidente;0.3698493600756098;0.0004569550829547089;0.12611960289549964;False;False
A4_CancelarAcao;C1_SemAcidente;0.3688451312068534;0.00047486524540076204;0.13106280773061033;False;False
A1_VoltarTela;D4_AdaptaUso;0.3687591955148873;0.013772260168544822;1.0;False;False
C3_SugestoesBusca;E2_InfoVisivel;0.36798017325384746;0.0004908044865285935;0.13546203828189182;False;False
C2_ControlesPos;D4_AdaptaUso;0.36669136017965953;0.0031170640458669384;0.860309676659275;False;False
A5_RespeitaConfig;D3_GerirPlaylists;0.3664016183902158;0.0005211624624651417;0.1438408396403791;False;False
C5_TocaRapido;D2_Recomendacoes;0.3654064767762634;0.005618609618222415;1.0;False;False
A2_ControleRepr;E2_InfoVisivel;0.3649900921533431;0.03109256680922267;1.0;False;False
B1_SemelhApps;E3_Estetica;0.3632472101351163;0.0005870329650064679;0.16202109834178513;False;False
C5_TocaRapido;E3_Estetica;0.3626539221094173;0.00601734924029967;1.0;False;False
A1_VoltarTela;B4_AcharAposUpd;0.3622026987346388;0.015688422949995454;1.0;False;False
A3_DesfazerPlay;D5_TelasLimpas;0.35835219452742656;0.005743066258451951;1.0;False;False
A1_VoltarTela;C2_ControlesPos;0.3575087048212861;0.0349891186613021;1.0;False;False
C1_SemAcidente;D5_TelasLimpas;0.3565116134141412;0.0033014516125717645;0.911200645069807;False;False
C3_SugestoesBusca;E4_HomeRelevante;0.3558126491739834;0.0007734382570414008;0.21346895894342663;False;False
E1_SemDistracao;E2_InfoVisivel;0.35488694390891945;0.0008000866838040227;0.22082392472991028;False;False
A1_VoltarTela;C3_SugestoesBusca;0.3502435035353932;0.01976737174624434;1.0;False;False
A5_RespeitaConfig;D5_TelasLimpas;0.3488331050534482;0.004097607852118116;1.0;False;False
A1_VoltarTela;C4_AvisoPerda;0.3473482773663325;0.020878998888146084;1.0;False;False
A4_CancelarAcao;D2_Recomendacoes;0.347117277477612;0.0010589715948102227;0.2922761601676215;False;False
C3_SugestoesBusca;D4_AdaptaUso;0.3460962020272649;0.0010981363373374893;0.303085629105147;False;False
C4_AvisoPerda;E4_HomeRelevante;0.34600529238576355;0.001101686285485277;0.30406541479393645;False;False
B3_LayoutConsist;D2_Recomendacoes;0.34600328648487555;0.001101764731657553;0.30408706593748464;False;False
C4_AvisoPerda;E3_Estetica;0.34600038136722694;0.0011018783531221172;0.30411842546170437;False;False
C2_ControlesPos;D2_Recomendacoes;0.34283374136835615;0.0059493015492808245;1.0;False;False
B1_SemelhApps;C5_TocaRapido;0.34104179554015335;0.01010600522582105;1.0;False;False
A1_VoltarTela;A3_DesfazerPlay;0.34052133106363563;0.03154955076374256;1.0;False;False
B4_AcharAposUpd;C4_AvisoPerda;0.33389890986143517;0.0016789516548423693;0.46339065673649393;False;False
A2_ControleRepr;B5_PrevisivBotoes;0.3336220058200244;0.08274469786809396;1.0;False;False
A2_ControleRepr;B3_LayoutConsist;0.3321865469100593;0.05121970419128707;1.0;False;False
C1_SemAcidente;E4_HomeRelevante;0.33151997014227363;0.0018203107860315668;0.5024057769447124;False;False
D1_AcoesRapidas;D5_TelasLimpas;0.33109338414303907;0.006618157800624167;1.0;False;False
B3_LayoutConsist;B5_PrevisivBotoes;0.3306474211819603;0.017795954423092036;1.0;False;False
A4_CancelarAcao;B5_PrevisivBotoes;0.32771759306131515;0.018895321203183192;1.0;False;False
A4_CancelarAcao;C4_AvisoPerda;0.32570786128337686;0.0022118950037819693;0.6104830210438236;False;False
D2_Recomendacoes;E2_InfoVisivel;0.32225667554376547;0.0024788091042442957;0.6841513127714256;False;False
B5_PrevisivBotoes;E1_SemDistracao;0.321602781275434;0.02137610619300526;1.0;False;False
C1_SemAcidente;E1_SemDistracao;0.319712243529973;0.0026937603985513654;0.7434778700001768;False;False
A1_VoltarTela;E4_HomeRelevante;0.3181057117303308;0.0353493011995766;1.0;False;False
C4_AvisoPerda;D5_TelasLimpas;0.3179636227542201;0.009276542524009682;1.0;False;False
A3_DesfazerPlay;B3_LayoutConsist;0.3163934015786043;0.007186206138263424;1.0;False;False
A2_ControleRepr;D1_AcoesRapidas;0.31587681337445705;0.0645254011500104;1.0;False;False
B1_SemelhApps;D2_Recomendacoes;0.315541940910642;0.003082420192717544;0.8507479731900421;False;False
A5_RespeitaConfig;C5_TocaRapido;0.3131011935959338;0.018793443621403907;1.0;False;False
C3_SugestoesBusca;C4_AvisoPerda;0.3129413993257562;0.0033494973626361484;0.924461272087577;False;False
D2_Recomendacoes;E1_SemDistracao;0.30723308736028654;0.004009531865322307;1.0;False;False
C3_SugestoesBusca;C5_TocaRapido;0.30649267340461495;0.0215932541555755;1.0;False;False
B5_PrevisivBotoes;D5_TelasLimpas;0.30563036677336336;0.04118354678904508;1.0;False;False
B2_IconesEsperados;D1_AcoesRapidas;0.30395147136335915;0.004439374241962757;1.0;False;False
D2_Recomendacoes;E3_Estetica;0.30142165580411534;0.00479824378837;1.0;False;False
A5_RespeitaConfig;D4_AdaptaUso;0.30088163454132966;0.0048781069920339655;1.0;False;False
B3_LayoutConsist;C3_SugestoesBusca;0.29897354624324857;0.0051698320513671;1.0;False;False
A4_CancelarAcao;C3_SugestoesBusca;0.29785516845367477;0.005347923762527421;1.0;False;False
B4_AcharAposUpd;D2_Recomendacoes;0.2966867941970073;0.005539766967252874;1.0;False;False
D3_GerirPlaylists;E2_InfoVisivel;0.2942371593077239;0.005961897560452967;1.0;False;False
A5_RespeitaConfig;E1_SemDistracao;0.292104350951048;0.006352354329091944;1.0;False;False
B5_PrevisivBotoes;E3_Estetica;0.29190529301959744;0.03766831204924536;1.0;False;False
B1_SemelhApps;C3_SugestoesBusca;0.2915259843953361;0.006462057928551276;1.0;False;False
B2_IconesEsperados;D3_GerirPlaylists;0.29025028578317297;0.006709965592725055;1.0;False;False
D1_AcoesRapidas;D2_Recomendacoes;0.2902371276959328;0.006712565758364827;1.0;False;False
D4_AdaptaUso;D5_TelasLimpas;0.2885371772595657;0.01879819244984549;1.0;False;False
A4_CancelarAcao;C5_TocaRapido;0.28516765488129603;0.03314518405081127;1.0;False;False
B4_AcharAposUpd;C3_SugestoesBusca;0.28452687113714653;0.007928479701335145;1.0;False;False
B1_SemelhApps;E4_HomeRelevante;0.28328748125962594;0.0082166378504533;1.0;False;False
A1_VoltarTela;B2_IconesEsperados;0.2816133910087871;0.06403835084607301;1.0;False;False
A5_RespeitaConfig;E4_HomeRelevante;0.28008550220361167;0.00900410518986643;1.0;False;False
A2_ControleRepr;A5_RespeitaConfig;0.2773562148197344;0.10672343220904232;1.0;False;False
C1_SemAcidente;D4_AdaptaUso;0.2757736732655117;0.010168672187938094;1.0;False;False
B5_PrevisivBotoes;C1_SemAcidente;0.273825735281509;0.0518510580846714;1.0;False;False
C3_SugestoesBusca;E1_SemDistracao;0.27022530549414486;0.011859509180374388;1.0;False;False
C3_SugestoesBusca;E3_Estetica;0.2693567961528812;0.012145218231412768;1.0;False;False
A3_DesfazerPlay;E1_SemDistracao;0.267598224404636;0.024063373252462588;1.0;False;False
D2_Recomendacoes;E4_HomeRelevante;0.2665123840268605;0.013123272622338554;1.0;False;False
B2_IconesEsperados;D4_AdaptaUso;0.2652987654009508;0.013560960142858495;1.0;False;False
C3_SugestoesBusca;D3_GerirPlaylists;0.2648894951624215;0.01371139051719215;1.0;False;False
B5_PrevisivBotoes;E2_InfoVisivel;0.2634490799101797;0.06177484725691558;1.0;False;False
A1_VoltarTela;B1_SemelhApps;0.2627251787927566;0.08489500731450901;1.0;False;False
C1_SemAcidente;E2_InfoVisivel;0.2622746176760627;0.014707100935003952;1.0;False;False
B2_IconesEsperados;E4_HomeRelevante;0.261966232670071;0.014828556894619158;1.0;False;False
C4_AvisoPerda;E1_SemDistracao;0.25715405199439534;0.0168393240189482;1.0;False;False
A3_DesfazerPlay;C4_AvisoPerda;0.25479319536422373;0.0320052162539229;1.0;False;False
C4_AvisoPerda;D3_GerirPlaylists;0.25349501174808003;0.018521600082955395;1.0;False;False
A3_DesfazerPlay;B4_AcharAposUpd;0.2416468481151505;0.04233565492766123;1.0;False;False
A5_RespeitaConfig;D2_Recomendacoes;0.24024247382417868;0.025876821393426487;1.0;False;False
B4_AcharAposUpd;E2_InfoVisivel;0.2344466826561194;0.029800371325625782;1.0;False;False
B1_SemelhApps;C2_ControlesPos;0.23372111168526985;0.06524440910239505;1.0;False;False
B2_IconesEsperados;D5_TelasLimpas;0.23285704691539588;0.05989726841429062;1.0;False;False
B3_LayoutConsist;C4_AvisoPerda;0.23283041920394107;0.03098014598489386;1.0;False;False
A2_ControleRepr;D3_GerirPlaylists;0.23095801717819478;0.18191771747126914;1.0;False;False
B2_IconesEsperados;C3_SugestoesBusca;0.22822052415294006;0.034563366498344156;1.0;False;False
C4_AvisoPerda;D4_AdaptaUso;0.2238024571803944;0.038317516302537095;1.0;False;False
A2_ControleRepr;C1_SemAcidente;0.2190512091847513;0.20612909938662727;1.0;False;False
A3_DesfazerPlay;E3_Estetica;0.21425250494908135;0.07278497703770281;1.0;False;False
B1_SemelhApps;C4_AvisoPerda;0.20844762387809115;0.05410554625861812;1.0;False;False
A3_DesfazerPlay;B1_SemelhApps;0.20297669704884766;0.08956898578739096;1.0;False;False
B1_SemelhApps;D5_TelasLimpas;0.20292998686244093;0.10222444575966791;1.0;False;False
A5_RespeitaConfig;C4_AvisoPerda;0.2021753871454184;0.06193098218190852;1.0;False;False
A3_DesfazerPlay;C1_SemAcidente;0.2012257423118071;0.09242887367686302;1.0;False;False
A2_ControleRepr;A4_CancelarAcao;0.19991802330921002;0.2495482356565964;1.0;False;False
C1_SemAcidente;C3_SugestoesBusca;0.19716699210719016;0.06881962484145468;1.0;False;False
C1_SemAcidente;C5_TocaRapido;0.19688964925923944;0.145825604499739;1.0;False;False
A1_VoltarTela;D1_AcoesRapidas;0.19652626054027947;0.2010413106363137;1.0;False;False
C2_ControlesPos;C4_AvisoPerda;0.19569383571152704;0.12427591111217284;1.0;False;False
E2_InfoVisivel;E4_HomeRelevante;0.19556536390213916;0.07114864528131068;1.0;False;False
A1_VoltarTela;C1_SemAcidente;0.19358781456896063;0.20799436574523075;1.0;False;False
C1_SemAcidente;D2_Recomendacoes;0.189481355128725;0.08057984527064967;1.0;False;False
C5_TocaRapido;D1_AcoesRapidas;0.1874079731612012;0.16663693515906358;1.0;False;False
C3_SugestoesBusca;D2_Recomendacoes;0.18625884170333165;0.08596483899529496;1.0;False;False
C4_AvisoPerda;C5_TocaRapido;0.17786887027093118;0.18968420458593527;1.0;False;False
D2_Recomendacoes;D5_TelasLimpas;0.1770539980392864;0.15497572187276223;1.0;False;False
C4_AvisoPerda;E2_InfoVisivel;0.17376168316217702;0.10959477070376993;1.0;False;False
B5_PrevisivBotoes;D4_AdaptaUso;0.16255403276848568;0.2544160910837023;1.0;False;False
C2_ControlesPos;D1_AcoesRapidas;0.16211862092973162;0.20428924312664454;1.0;False;False
C2_ControlesPos;E2_InfoVisivel;0.1612274145108607;0.20682131282118757;1.0;False;False
A3_DesfazerPlay;D4_AdaptaUso;0.16036333081162987;0.1815737766768539;1.0;False;False
D5_TelasLimpas;E2_InfoVisivel;0.15955582044917563;0.20065522812765868;1.0;False;False
A3_DesfazerPlay;D2_Recomendacoes;0.15894184858425628;0.1855264512572703;1.0;False;False
B5_PrevisivBotoes;C3_SugestoesBusca;0.15751319935366914;0.26964055998593195;1.0;False;False
A5_RespeitaConfig;C2_ControlesPos;0.1514051417568981;0.23620751116567143;1.0;False;False
B5_PrevisivBotoes;D1_AcoesRapidas;0.1462181573478645;0.3059132209187014;1.0;False;False
A3_DesfazerPlay;C3_SugestoesBusca;0.14544150737202058;0.22619970148981886;1.0;False;False
B2_IconesEsperados;C4_AvisoPerda;0.1452556554795439;0.18206507738952346;1.0;False;False
A5_RespeitaConfig;B5_PrevisivBotoes;0.13808426799800186;0.3338884559846522;1.0;False;False
A2_ControleRepr;A3_DesfazerPlay;0.13602043771698213;0.45038846325595217;1.0;False;False
C2_ControlesPos;C3_SugestoesBusca;0.1332319041624272;0.297890060036444;1.0;False;False
